status,shortlong,forceIndex,trend2min,trend5min,trend10min,trend15min,buildDate
GAIN,VENDIDO,195,50,-10,-145,0,1564661040000
GAIN,COMPRADO,95,-15,-40,55,100,1564661940000
LOSS,COMPRADO,145,20,130,170,200,1564662840000
GAIN,COMPRADO,85,15,-10,50,70,1564665540000
GAIN,COMPRADO,95,90,55,100,125,1564665840000
GAIN,COMPRADO,265,60,195,325,370,1564666140000
LOSS,COMPRADO,230,60,100,175,220,1564666740000
GAIN,VENDIDO,90,-50,-60,-60,100,1564667040000
GAIN,COMPRADO,310,40,185,290,305,1564667940000
LOSS,COMPRADO,120,35,70,125,150,1564668840000
GAIN,COMPRADO,160,40,155,130,180,1564669740000
GAIN,COMPRADO,100,-50,65,215,215,1564670040000
GAIN,VENDIDO,170,-25,0,-150,-180,1564670640000
LOSS,COMPRADO,150,85,115,165,90,1564671240000
GAIN,VENDIDO,120,30,40,-75,-45,1564671540000
LOSS,VENDIDO,95,-145,-105,-95,-80,1564671840000
GAIN,COMPRADO,155,5,30,100,70,1564672140000
GAIN,COMPRADO,110,35,65,100,140,1564673340000
LOSS,VENDIDO,130,-40,-85,-135,-120,1564674840000
LOSS,COMPRADO,100,-30,100,25,-35,1564675140000
GAIN,COMPRADO,140,100,135,155,135,1564677840000
GAIN,COMPRADO,180,70,115,165,305,1564678140000
LOSS,COMPRADO,85,5,25,40,100,1564680240000
GAIN,VENDIDO,630,-340,-655,-625,-610,1564680540000
GAIN,VENDIDO,305,-330,-295,-945,-920,1564680840000
GAIN,VENDIDO,240,-75,-165,-370,-790,1564681140000
LOSS,VENDIDO,400,-230,-365,-470,-545,1564681440000
GAIN,COMPRADO,320,185,210,115,25,1564681740000
GAIN,VENDIDO,230,40,-355,-115,75,1564682040000
LOSS,COMPRADO,325,175,195,195,405,1564682340000
LOSS,VENDIDO,510,-255,-410,-310,-373,1564682640000
GAIN,VENDIDO,315,-10,-180,-175,-300,1564683840000
LOSS,COMPRADO,320,365,460,220,115,1564685340000
GAIN,VENDIDO,95,-55,-45,-110,-220,1564685940000
LOSS,VENDIDO,210,-75,-165,-200,-185,1564686540000
GAIN,COMPRADO,195,15,-40,-5,195,1564686840000
LOSS,VENDIDO,155,-185,-260,-100,-95,1564687740000
GAIN,VENDIDO,120,-5,40,-65,-110,1564688040000
GAIN,COMPRADO,100,25,20,90,155,1564688340000
GAIN,VENDIDO,85,-25,-85,-90,-150,1564688940000
GAIN,VENDIDO,135,25,55,-130,-215,1564689240000
GAIN,COMPRADO,115,-40,-10,50,125,1564689840000
GAIN,VENDIDO,80,-20,-45,-45,-65,1564691340000
LOSS,COMPRADO,105,20,85,150,55,1564747740000
LOSS,VENDIDO,180,-82,-115,-155,-100,1564748040000
GAIN,COMPRADO,160,105,75,75,160,1564748340000
GAIN,COMPRADO,85,255,50,120,90,1564748940000
GAIN,COMPRADO,90,20,75,20,-140,1564749540000
GAIN,COMPRADO,115,140,165,110,110,1564750140000
GAIN,COMPRADO,125,20,50,120,280,1564750440000
GAIN,COMPRADO,245,85,85,250,225,1564750740000
GAIN,COMPRADO,315,85,280,450,525,1564751040000
GAIN,VENDIDO,80,-35,0,20,50,1564751640000
GAIN,COMPRADO,280,70,165,240,235,1564752240000
GAIN,COMPRADO,95,80,95,195,270,1564752540000
GAIN,COMPRADO,105,35,50,195,280,1564752840000
GAIN,COMPRADO,85,320,255,330,215,1564753140000
GAIN,VENDIDO,210,-70,45,-215,-265,1564754040000
GAIN,VENDIDO,190,30,-5,-240,-280,1564754340000
GAIN,VENDIDO,125,-90,-140,-215,-165,1564754940000
LOSS,VENDIDO,385,-115,-215,-425,-560,1564755240000
LOSS,VENDIDO,215,-295,-205,-385,-630,1564755540000
LOSS,COMPRADO,90,120,50,60,-10,1564756140000
GAIN,VENDIDO,205,70,-5,-40,-95,1564756740000
GAIN,VENDIDO,90,130,45,-50,-10,1564757340000
GAIN,COMPRADO,120,10,40,150,215,1564757640000
LOSS,COMPRADO,120,-80,-30,225,140,1564757880000
LOSS,VENDIDO,80,0,110,-165,-20,1564758240000
GAIN,COMPRADO,195,30,115,135,205,1564758540000
GAIN,COMPRADO,195,-70,-25,5,315,1564758840000
GAIN,VENDIDO,160,-20,-40,-55,-175,1564759140000
GAIN,VENDIDO,115,65,-45,-125,-160,1564759440000
LOSS,COMPRADO,100,60,50,145,95,1564760640000
GAIN,COMPRADO,155,210,275,205,170,1564760940000
GAIN,COMPRADO,105,40,60,115,80,1564762440000
GAIN,VENDIDO,245,-80,-185,-255,-185,1564764540000
GAIN,VENDIDO,90,15,-5,-35,-130,1564765140000
GAIN,COMPRADO,115,-35,15,40,110,1564769340000
GAIN,COMPRADO,110,90,100,80,90,1564769640000
LOSS,VENDIDO,95,-5,-130,0,-5,1564769940000
GAIN,COMPRADO,110,-15,-15,60,95,1564770240000
GAIN,COMPRADO,100,45,95,60,110,1564770840000
GAIN,COMPRADO,105,25,55,110,120,1564771440000
GAIN,VENDIDO,90,-30,-15,-95,-110,1564772940000
GAIN,VENDIDO,135,45,15,-85,-195,1564773240000
LOSS,VENDIDO,85,-95,-120,-95,-115,1564774440000
GAIN,COMPRADO,325,-110,235,240,140,1564774740000
GAIN,VENDIDO,85,0,55,-95,-120,1564775340000
LOSS,VENDIDO,110,10,50,-150,-110,1564775640000
LOSS,COMPRADO,170,35,85,55,205,1564776240000
LOSS,COMPRADO,140,35,70,70,100,1564778640000
GAIN,VENDIDO,110,-15,-130,-120,0,1565006940000
LOSS,VENDIDO,110,-75,-100,-95,-155,1565007240000
LOSS,VENDIDO,320,-210,-285,-295,-325,1565010240000
LOSS,COMPRADO,170,80,10,-50,-160,1565010540000
LOSS,COMPRADO,170,115,255,240,270,1565010840000
GAIN,VENDIDO,140,125,-140,120,115,1565011140000
GAIN,COMPRADO,180,190,180,265,210,1565012340000
LOSS,VENDIDO,210,0,-165,45,-85,1565012640000
GAIN,COMPRADO,215,150,155,270,230,1565013240000
GAIN,VENDIDO,210,-120,-155,-215,-160,1565013840000
GAIN,VENDIDO,100,-130,-135,-110,-35,1565014740000
GAIN,VENDIDO,80,-105,-100,-250,-300,1565015040000
LOSS,COMPRADO,165,50,70,110,180,1565015340000
LOSS,VENDIDO,90,-30,-85,-60,-60,1565015640000
GAIN,VENDIDO,130,-95,-125,-200,-295,1565016240000
GAIN,VENDIDO,80,-65,-45,-70,-80,1565017140000
GAIN,COMPRADO,135,10,10,45,140,1565017440000
